event_id,user_id,ts,event_type,paywall_type,converted,price
e_df48454512b54e48,bob,2024-01-01 13:54:00,contentViewed_sleep,,,
e_76fe966ec52a4e93,bob,2024-01-01 23:30:00,habitDone,,,
e_1917b406a61a47cb,u_e03e84daecfb,2024-01-02 00:24:00,contentViewed_bible,,,
e_d4acb15ed2a04eef,u_5f94f538861c,2024-01-02 01:34:00,appOpen,,,
e_8450c20b35ae45b4,u_5f94f538861c,2024-01-02 05:15:00,contentViewed_anxiety,,,
e_ad5a645437434b22,u_e03e84daecfb,2024-01-02 06:26:00,appOpen,,,
e_e7e0385b36da4890,u_91c866882652,2024-01-02 22:37:00,appOpen,,,
e_f7d12788a5be43f0,bob,2024-01-02 23:15:00,contentViewed_sleep,,,
e_146eccfb4f234921,u_f5b6b2f4ef5c,2024-01-02 23:18:00,habitDone,,,
e_7c3457c1d6c64c63,u_2104564e81b0,2024-01-03 00:50:00,habitDone,,,
e_1da865b6ef7f4b94,u_e03e84daecfb,2024-01-03 00:59:00,contentViewed_bible,,,
e_0215c1bd04a142f4,u_e03e84daecfb,2024-01-03 01:38:00,habitDone,,,
e_f218c34fda7043bb,u_2104564e81b0,2024-01-03 07:18:00,habitDone,,,
e_c2b34882743b483e,u_f75fe8be11c2,2024-01-03 07:50:00,appOpen,,,
e_426618748aef460b,u_2c4141b9d657,2024-01-03 11:23:00,contentViewed_other,,,
e_f3f4c9e84c0f4718,u_fc8c63befeb8,2024-01-03 13:02:00,paywallShown,generic,False,
e_651aab8294aa4783,u_e03e84daecfb,2024-01-03 16:23:00,paywallShown,biblestudy,True,
e_c2b8f6a0ba5349aa,u_e03e84daecfb,2024-01-03 16:48:00,purchaseCompleted,biblestudy,,59.99
e_6c57c006f8274d23,u_dbd3e9decb30,2024-01-03 19:40:00,contentViewed_bible,,,
e_96364d5a8c344ed6,u_26d7271c386e,2024-01-03 21:10:00,appOpen,,,
e_a3da74f39ea44435,u_5f94f538861c,2024-01-03 21:17:00,paywallShown,anxiety,False,
e_3a0fc0a955e947d4,u_91c866882652,2024-01-04 00:15:00,habitDone,,,
e_35692db953144b09,u_a99f2f6d2df1,2024-01-04 01:50:00,habitDone,,,
e_c0824c63358f4741,u_2104564e81b0,2024-01-04 02:05:00,contentViewed_other,,,
e_23c467a1b6a746d9,u_5b2f35f8d6e2,2024-01-04 02:08:00,contentViewed_anxiety,,,
e_1b713238463744d2,u_bbe604f44180,2024-01-04 03:45:00,contentViewed_other,,,
e_5f22f557da404bba,u_2104564e81b0,2024-01-04 06:51:00,appOpen,,,
