denomination,onboardingV7_lifeChallenge,age,gender,lifeChallengeOption
Catholic,"Financial struggles, marriage, work, children",25-34,"""f""","""Anxiety or fear"""
Catholic,,25-34,"""m""","""Health or healing"""
Other,,25-34,"""m""","""Family or relationships"""
Catholic,,25-34,"""f""","""Loneliness or heartbreak"""
Baptist,,35-44,"""f""","""Stress or burnout"""
Nondenominational,Stress at work and impostor syndrome. Fear that what I do for work is not my true purpose.,25-34,"""f""","""Anxiety or fear"""
Baptist,I’ve been at my job for ten years and haven’t moved up as much as I would’ve liked. I get placed on the back burner a lot.,35-44,"""f""","""Purpose or direction"""
Nondenominational,Being scared that the guy I’m falling for is going to leave me ,25-34,"""f""","""Anxiety or fear"""
Catholic,Been feeling overly stressed overthinking for my parents and finances my health as well as my family and parents and sisters well being ,25-34,"""f""","""Stress or burnout"""
Catholic,God is there for everyone ,25-34,"""m""","""Family or relationships"""
Baptist,Financially stressed,25-34,"""m""","""Finances or provision"""
Baptist,\n,25-34,"""m""","""Loneliness or heartbreak"""
Nondenominational,"Finding purpose, leading my family how to navigate hard times",25-34,"""m""","""Purpose or direction"""
Catholic,Stressed and exhausted. A lot on my plate. Also financial ,25-34,"""m""","""Stress or burnout"""
Other,Depression ,25-34,"""m""","""Family or relationships"""
Baptist,Just needing a daily bible verse ,25-34,"""m""","""Stress or burnout"""
Baptist,lust and social media addiction ,25-34,"""m""","""Addiction or temptation"""
Nondenominational,Bh,25-34,"""f""","""Stress or burnout"""
Nondenominational,Constant stress. Being a good mom. Being a good partner. Balance work to life. Finances. ,25-34,"""f""","""Finances or provision"""
Nondenominational,Going through a break up,25-34,"""f""","""Loneliness or heartbreak"""
Nondenominational,My chronic illness,25-34,"""f""","""Anxiety or fear"""
Nondenominational,Daily struggle against sin and lack of purpose ,25-34,"""m""","""Purpose or direction"""
Nondenominational,I feel unsatisfied with my life accomplishments and feel I am a failure. This causes lack of motivation for anything and has derailed many relationships and my health,25-34,"""m""","""Purpose or direction"""
Pentecostal,Just slot ,25-34,"""f""","""Anxiety or fear"""
Baptist,I just want peace I don’t have a relationship with my family ima mother of 2kids I don’t really know what to do with my life right now I just feel alone,25-34,"""f""","""Purpose or direction"""
Baptist,List,25-34,"""m""","""Addiction or temptation"""
Catholic,The thought of losing my grandmother ,25-34,"""f""","""Grief or loss"""
Nondenominational,Believing ,25-34,"""f""","""Purpose or direction"""
Nondenominational,Getting divorced and only seeing my son now on the weekends ,25-34,"""m""","""Loneliness or heartbreak"""
Nondenominational,Purpose,25-34,"""m""","""Stress or burnout"""
Nondenominational,Smoking weed and lust ,25-34,"""m""","""Addiction or temptation"""
Other,I feel alone and on my own ,25-34,"""m""","""Loneliness or heartbreak"""
Pentecostal,Lord knows I rather not say,25-34,"""f""","""Anxiety or fear"""
Pentecostal,New job won’t pay as good as past job for short term but will be much better for my family in the long run,25-34,"""m""","""Stress or burnout"""
Protestant,Behind financial and addictions ,25-34,"""m""","""Finances or provision"""
Protestant,Work,25-34,"""m""","""Stress or burnout"""
Catholic,Lost and lonely ,25-34,"""f""","""Loneliness or heartbreak"""
Catholic,Anxiety,25-34,"""m""","""Anxiety or fear"""
Catholic,I don’t know where I’m going in life,25-34,"""m""","""Purpose or direction"""
Baptist,"Finances, self love, depression, self worth, loneliness ",25-34,"""f""","""Finances or provision"""
Pentecostal,Kids,25-34,"""f""","""Stress or burnout"""
Nondenominational,Getting closer to god and just making myself healthier and happier ,35-44,"""f""","""Anxiety or fear"""
Nondenominational,I feel the pressure of not being able to provide for my family. ,35-44,"""m""","""Finances or provision"""
Other,Anger/anxiety,35-44,"""f""","""Finances or provision"""
Other,Wanting a divorce and start a new chapter of my life with my kids,35-44,"""f""","""Family or relationships"""
Other,Loosing my wife Zoe,35-44,"""m""","""Loneliness or heartbreak"""
Baptist,"Death of parents, seeking a new job, kids struggling with anxiety, feeling overwhelmed ",35-44,"""f""","""Anxiety or fear"""
Baptist,Life in general,35-44,"""f""","""Stress or burnout"""
Baptist,N,35-44,"""m""","""Anxiety or fear"""
Catholic,The hardest thing to handle is doing everything alone with no help paying everything on my own and trying to get me and my kids a place without having to have good credit also losing my mom had been so hard ,35-44,"""f""","""Stress or burnout"""
Nondenominational,Anxiety of the world,35-44,"""f""","""Anxiety or fear"""
Nondenominational,Fear ,35-44,"""f""","""Anxiety or fear"""
Nondenominational,Having thoughts of self doubt and like I’m not fulfilling my life ,35-44,"""f""","""Stress or burnout"""
Nondenominational,I ,35-44,"""f""","""Finances or provision"""
Nondenominational,"I am looking to reconnect with Jesus to help me allow myself grace as I manage the daily stresses of life, work, and family. I want to give my faith a second chance to fall back in love with Jesus and feel purpose everyday. ",35-44,"""f""","""Stress or burnout"""
Nondenominational,Anxiety and addiction  and lust ,35-44,"""m""","""Anxiety or fear"""
Nondenominational,Health and forgiveness ,35-44,"""m""","""Purpose or direction"""
Baptist,"Stress burnout on my job want a job where I work Monday-Thursday that pays about the same amount of money I making now I just want better for me and my kids waiting in God to send me a good husband. I need prayer for stress burnout financial blessing anxiety, nervousness, depression, lonely, sad, jittery I don’t feel like I’m beautiful seem like every man I get with They leave me a cheat on me. An I be faithful ",35-44,"""f""","""Finances or provision"""
Baptist,i just want to be better person ,35-44,"""m""","""Addiction or temptation"""
Catholic,"Starting out with no income, moving with a daughter to provide die. Many interviews coming up",35-44,"""f""","""Purpose or direction"""
Nondenominational,Just staying focused loosing sight ,35-44,"""f""","""Purpose or direction"""
Catholic,-,35-44,"""f""","""Loneliness or heartbreak"""
Catholic,No desire to do anything ,35-44,"""m""","""Stress or burnout"""
Nondenominational,Credit card debt ,35-44,"""f""","""Finances or provision"""
Lutheran,A lot ,25-34,"""m""","""Anxiety or fear"""
Nondenominational,Extreme stress and anxiety as well as ADHD paralysis,25-34,"""f""","""Stress or burnout"""
Nondenominational,There’s way too much to explain but God knows and he has it all handled. I have faith in Him getting my children and I through everything. ,25-34,"""f""","""Finances or provision"""
Other,Trying to move on from a relationship and overcoming the stress of a new journey in life ,25-34,"""m""","""Loneliness or heartbreak"""
Catholic,financially struggling ,25-34,"""f""","""Finances or provision"""
Other,I am unsure of my purpose and not sure if I believe in God but want to explore it more.,25-34,"""f""","""Purpose or direction"""
Catholic,My husband is a struggling alcoholic. He assaulted me when our daughter was only 5 weeks old and he was forced out of our lives because of the protection order. But I struggle to figure out if he really loves me or not and if I should stay with him or we should separate and get a divorce. I’m scared to lose my child through a custody battle. I’m scared to hurt him if I try to take her from him. But I’m scared and paranoid all the time because he’s showing me lately he doesn’t love me. I saw him for the first time last weekend and he didn’t want anything to do with me. No hug or kiss or any affection. I feel so alone and rejected. And he’s the one that put us here with his drinking and I’m the one being rejected. Why can’t I love myself enough to realize and feel completely leaving him is for the best for me?,25-34,"""f""","""Loneliness or heartbreak"""
Nondenominational,"Anxiety, depression, self love, self confidence ",25-34,"""f""","""Stress or burnout"""
Other,Angry and frustration ,35-44,"""f""","""Anxiety or fear"""
Other,My family ,35-44,"""f""","""Family or relationships"""
Other,"Kingdom of God, living with purpose, no religious limitations ",35-44,"""f""","""Family or relationships"""
Catholic,Fear,35-44,"""m""","""Purpose or direction"""
Nondenominational,"Moving twice in one month trying to get sober , leaving a relationship that went so fast in six months moved in with him went on two trips and I’m absolutely devastated. Trying to heal from old wounds. And get through this break up and see if I meant to be with this person. Be a better woman, better, daughter, better sister and family member and friend",25-34,"""f""","""Loneliness or heartbreak"""
